transaction_id,supporter_id,appeal_id,campaign_id,fund_id,date,amount,payment_method
18549,439,25,9,2,01/08/2024,696581.14,Bank Transfer
7308,477,7,2,8,14/12/2024,636840.54,Check
7328,439,7,2,2,18/12/2024,604295.54,Bank Transfer
2463,203,5,2,2,26/02/2024,586107.34,Other
19147,378,25,9,8,18/08/2024,581177.46,Check
40034,465,44,15,1,20/09/2024,579646.14,Check
31811,618,36,13,5,23/01/2024,563350.22,Check
18628,311,25,9,2,18/08/2024,559873.88,Bank Transfer
35192,603,39,14,4,30/01/2025,553615.54,Bank Transfer
1728,317,4,2,2,29/10/2023,552656.08,Check
18958,618,25,9,8,19/08/2024,-540389.22,Other
2777,162,5,2,2,03/03/2024,507036.82,Check
2782,203,5,2,2,07/03/2024,506429.74,Check
18101,394,24,9,2,29/11/2023,495132.5,Check
50910,605,60,21,5,21/03/2022,491517.3,Other
1925,353,4,2,8,22/10/2023,487269.72,Bank Transfer
2832,660,5,2,8,07/03/2024,481645.2,Other
18813,576,25,9,2,30/07/2024,476506.88,Bank Transfer
7492,603,7,2,2,25/12/2024,471937.1,Check
55717,162,70,24,5,11/01/2022,470606.96,Check
32234,304,36,13,3,30/01/2024,468087.98,Bank Transfer
7306,203,7,2,2,17/12/2024,450617.06,Bank Transfer
39505,174,44,15,1,07/10/2024,447600.78,Check
36758,439,41,14,3,15/05/2025,446832.56,Check
17911,394,24,9,8,29/11/2023,439055.62,Check
18031,618,24,9,8,23/11/2023,435526.54,Bank Transfer
7545,692,7,2,2,22/12/2024,425345.84,Check
7961,421,7,2,2,17/12/2024,417915.6,Bank Transfer
7713,423,7,2,8,08/12/2024,415977.96,Bank Transfer
35218,726,39,14,3,25/01/2025,402715.24,Check
39960,480,44,15,1,28/09/2024,396212.18,Check
31781,618,36,13,3,01/02/2024,389318.36,Check
2410,597,5,2,2,02/03/2024,386147.76,Bank Transfer
39602,493,44,15,1,09/10/2024,376709.64,Check
18481,370,25,9,8,14/08/2024,375569.06,Bank Transfer
37331,605,41,14,3,06/05/2025,371771.76,Bank Transfer
2412,434,5,2,2,09/03/2024,363947.92,Check
18506,378,25,9,2,27/07/2024,361521.34,Other
34845,576,39,14,3,29/01/2025,-358546.14,Other
7441,370,7,2,2,20/12/2024,355164.16,Bank Transfer
52723,378,64,22,1,22/11/2021,353724.3,Bank Transfer
39906,417,44,15,1,10/10/2024,352554.2,Bank Transfer
39872,417,44,15,1,12/10/2024,351898.4,Check
39366,618,44,15,1,28/09/2024,348513.08,Check
2510,458,5,2,8,05/03/2024,346487.06,Check
40009,259,44,15,1,09/09/2024,345367.7,Check
1934,639,4,2,2,23/10/2023,342058.72,Check
32154,639,36,13,5,30/01/2024,342026.06,Check
31800,605,36,13,4,27/01/2024,338907.18,Bank Transfer
47920,203,53,19,3,10/10/2024,338236.74,Bank Transfer
19025,417,25,9,8,19/08/2024,336369.74,Bank Transfer
18819,370,25,9,8,05/08/2024,335648.48,Other
33342,439,37,13,5,24/02/2024,333820.06,Check
37620,138,41,14,1,04/05/2025,325921.36,Bank Transfer
2445,285,5,2,2,04/03/2024,324653.94,Check
32700,203,37,13,5,24/02/2024,319141.2,Bank Transfer
35603,197,39,14,1,02/02/2025,311244.68,Bank Transfer
36941,264,41,14,1,21/05/2025,310716.52,Bank Transfer
2920,311,5,2,2,06/03/2024,310534.66,Check
1908,711,4,2,8,26/10/2023,297354.22,Bank Transfer
32727,264,37,13,4,24/02/2024,296284.96,Check
49994,161,57,20,5,07/06/2021,296227.54,Check
46944,576,53,19,3,10/10/2024,293998.26,Bank Transfer
33335,174,37,13,5,24/02/2024,292425.84,Check
18612,493,25,9,8,27/07/2024,292043.4,Check
55676,370,70,24,5,06/01/2022,291575.92,Bank Transfer
51380,47,61,21,5,19/04/2022,289646.92,Check
34977,285,39,14,3,04/02/2025,289024.02,Bank Transfer
33155,311,37,13,5,24/02/2024,288909.26,Check
31951,458,36,13,5,28/01/2024,287340.8,Check
32852,417,37,13,4,24/02/2024,285135.72,Check
48249,121,53,19,3,10/10/2024,284966,Check
46627,261,53,19,3,10/10/2024,283611.22,Check
52572,378,64,22,1,22/11/2021,281817.84,Bank Transfer
35005,233,39,14,3,27/01/2025,276830.38,Bank Transfer
21796,434,28,10,8,10/10/2024,276268.88,Bank Transfer
25715,162,30,11,5,28/11/2024,276077.04,Other
25726,434,30,11,5,29/11/2024,273918.92,Check
18381,264,24,9,8,28/11/2023,273904.96,Bank Transfer
51168,353,61,21,5,19/04/2022,273684.18,Check
46749,605,53,19,3,10/10/2024,269806.04,Bank Transfer
1837,161,4,2,8,29/10/2023,267990.96,Bank Transfer
48471,605,53,19,3,10/10/2024,266217.5,Check
39836,618,44,15,1,19/09/2024,264004.86,Bank Transfer
22335,618,28,10,8,06/10/2024,262286.48,Bank Transfer
2702,311,5,2,2,06/03/2024,253870.04,Bank Transfer
21686,417,28,10,8,08/10/2024,253121.62,Check
39690,576,44,15,1,04/10/2024,252865.68,Check
26075,47,30,11,5,28/11/2024,252256.08,Bank Transfer
25099,466,30,11,5,28/11/2024,252090.44,Check
21822,576,28,10,8,09/10/2024,250917.76,Check
31890,726,36,13,5,28/01/2024,249636.54,Bank Transfer
22002,576,28,10,8,04/10/2024,248574.06,Check
46781,417,53,19,3,10/10/2024,246052,Bank Transfer
33750,417,37,13,5,24/02/2024,245541.56,Bank Transfer
52543,493,64,22,1,22/11/2021,245369.2,Check
21200,264,28,10,8,09/10/2024,243926.62,Bank Transfer
32671,439,37,13,5,24/02/2024,242585.38,Check
26251,264,30,11,5,30/11/2024,239674.98,Bank Transfer
19837,378,26,10,8,25/04/2024,239374.4,Check
37217,711,41,14,1,06/05/2025,238094.14,Check
2861,353,5,2,2,06/03/2024,237641.18,Bank Transfer
2554,726,5,2,2,26/02/2024,237563.41,Check
51315,605,61,21,5,19/04/2022,236800.04,Check
12387,603,16,6,5,29/06/2024,236181.68,Check
2553,726,5,2,2,05/03/2024,235709.28,Bank Transfer
34025,317,37,13,5,24/02/2024,234365.48,Check
33072,711,37,13,4,24/02/2024,233111.4,Check
36622,465,40,14,3,15/03/2025,231542.98,Check
2034,311,4,2,2,05/11/2023,231085.82,Check
862,378,3,1,1,29/12/2022,231075.74,Check
2352,423,5,2,8,03/03/2024,229337.96,Check
2485,718,5,2,8,29/02/2024,228774.5,Check
1721,378,4,2,2,29/10/2023,228646.02,Bank Transfer
8297,378,9,3,3,23/08/2021,228006.92,Bank Transfer
45569,101,51,18,3,02-Jun-23,226982.66,Check
21873,481,28,10,8,07/10/2024,226133.38,Bank Transfer
25234,311,30,11,6,24/11/2024,224079.04,Check
52683,174,64,22,1,22/11/2021,224065.86,Check
25334,203,30,11,5,30/11/2024,224037.26,Check
22182,439,28,10,8,07/10/2024,222613.52,Bank Transfer
11191,480,14,5,7,31/01/2024,221842.82,Bank Transfer
32933,317,37,13,3,24/02/2024,220236.28,Check
19684,162,26,10,8,24/04/2024,218807.96,Check
26304,304,30,11,6,29/11/2024,218080.24,Bank Transfer
47049,162,53,19,3,10/10/2024,217459.64,Other
7911,311,7,2,2,22/12/2024,216366.52,Check
31483,197,35,12,7,22/04/2025,216134.88,Bank Transfer
15103,285,19,7,5,18/09/2023,213932.02,Check
2392,711,5,2,8,01/03/2024,213781.02,Check
51119,639,61,21,5,19/04/2022,213659.2,Bank Transfer
1417,603,3,1,8,02/01/2023,213285.632,Check
47363,174,53,19,3,10/10/2024,211011.68,Check
32459,711,37,13,5,24/02/2024,209490.72,Check
27200,439,31,11,5,02/01/2025,209357.82,Check
18802,618,25,9,2,05/08/2024,208528.34,Check
29879,317,34,12,7,22/03/2025,208443.8,Bank Transfer
37795,378,42,15,1,29/06/2024,208430.92,Check
33554,639,37,13,5,24/02/2024,208290.7,Bank Transfer
52675,378,64,22,1,22/11/2021,208173.02,Check
39497,639,44,15,1,02/10/2024,207602.06,Check
25611,711,30,11,5,28/11/2024,206937.1,Check
51162,423,61,21,5,19/04/2022,206420.58,Check
52807,711,64,22,1,22/11/2021,206001.54,Check
31364,197,35,12,4,23/04/2025,205773.78,Check
26305,264,30,11,5,27/11/2024,204424.4,Bank Transfer
30015,465,34,12,3,10/03/2025,204302.06,Bank Transfer
31883,264,36,13,5,30/01/2024,203742.18,Bank Transfer
1771,311,4,2,2,21/10/2023,202421.02,Check
30831,603,35,12,4,21/04/2025,201922.62,Bank Transfer
42126,101,48,17,4,10/08/2024,201284.1,Check
12652,481,16,6,6,20/06/2024,201153.3,Check
2822,711,5,2,2,03/03/2024,199979.98,Bank Transfer
22208,394,28,10,1,09/10/2024,199965.6,Check
2871,423,5,2,2,07/03/2024,199753.28,Bank Transfer
25102,605,30,11,5,30/11/2024,199481.36,Check
15770,417,20,8,4,26/11/2022,199109.84,Check
21103,523,28,10,8,08/10/2024,198644.3,Check
14592,264,18,7,5,05/08/2023,198609.42,Bank Transfer
30517,311,34,12,4,20/03/2025,197984.26,Check
30347,576,34,12,3,09/03/2025,197869.86,Check
39709,378,44,15,1,20/09/2024,197823.4,Check
41863,581,48,17,4,13/08/2024,197746.26,Check
26478,378,31,11,5,02/01/2025,197424.52,Check
15801,417,20,8,3,26/11/2022,197406.88,Bank Transfer
24684,233,30,11,6,28/11/2024,196940.12,Check
1223,718,3,1,1,01/01/2023,196187.56,Check
37534,603,41,14,3,18/05/2025,195759.76,Other
49469,434,54,19,3,15/12/2024,195058.14,Check
54286,417,67,23,4,06/03/2023,195008.32,Bank Transfer
38586,304,43,15,1,02/08/2024,194002.14,Check
16169,639,20,8,3,26/11/2022,193816,Check
31528,121,35,12,4,17/04/2025,193298.04,Check
12549,605,16,6,6,27/06/2024,191656.06,Check
52795,162,64,22,3,22/11/2021,191424.8,Bank Transfer
13757,47,17,6,6,05/08/2024,191042.18,Bank Transfer
46868,213,53,19,3,10/10/2024,191013.66,Check
561,523,2,1,8,06/10/2022,190784.36,Check
34766,603,38,13,4,14/04/2024,189711.9,Check
47346,605,53,19,3,10/10/2024,189477.2,Bank Transfer
112,417,1,1,8,03/07/2022,189012.28,Check
34578,421,38,13,3,12/04/2024,187937.02,Check
1370,353,3,1,1,03/01/2023,187756.34,Bank Transfer
24750,721,30,11,5,29/11/2024,187709.58,Bank Transfer
25562,421,30,11,6,26/11/2024,187241.28,Check
1097,261,3,1,8,02/01/2023,186997.38,Check
12566,523,16,6,6,03/07/2024,186527.84,Check
46750,605,53,19,3,10/10/2024,185724.896,Check
37086,331,41,14,3,08/05/2025,185496.3,Other
11192,311,14,5,4,24/01/2024,185216.6,Bank Transfer
518,376,2,1,1,29/09/2022,184886.48,Check
1416,603,3,1,8,05/01/2023,184328.98,Check
33963,74,37,13,5,24/02/2024,183989.54,Bank Transfer
48368,660,53,19,3,10/10/2024,183879.46,Other
37535,603,41,14,4,05/05/2025,183675.478,Bank Transfer
47292,605,53,19,3,10/10/2024,183529.42,Check
9739,378,12,4,6,09/01/2024,183249.8,Bank Transfer
9058,726,11,4,6,09/11/2023,181814.78,Check
8778,317,11,4,6,08/11/2023,180854.56,Check
10188,439,12,4,6,15/01/2024,180715.46,Check
26932,439,31,11,6,10/01/2025,180401.74,Bank Transfer
8521,162,11,4,6,08/11/2023,179556.9,Bank Transfer
29391,138,33,11,5,14/03/2025,178753.02,Check
41893,603,48,17,4,17/08/2024,178679.18,Other
28680,605,33,11,5,13/03/2025,178608.68,Check
51670,605,61,21,5,19/04/2022,178424.42,Check
20205,417,27,10,8,02/08/2024,177631.14,Check
34167,559,38,13,5,15/04/2024,177464.04,Other
30941,543,35,12,3,21/04/2025,177106.28,Check
28773,523,33,11,5,28/03/2025,176800.62,Check
8964,726,11,4,5,08/11/2023,175388.74,Bank Transfer
22072,417,28,10,1,07/10/2024,175027.28,Check
14262,618,17,6,6,23/08/2024,174762.5,Bank Transfer
16840,726,21,8,4,28/08/2022,174360.02,Bank Transfer
20914,458,28,10,8,05/10/2024,173886.56,Check
37904,161,42,15,1,01/07/2024,173384.6,Bank Transfer
48809,439,54,19,3,10/12/2024,172522.38,Check
34909,378,39,14,1,28/01/2025,171367.76,Check
48737,523,53,19,3,10/10/2024,171266,Bank Transfer
15169,721,19,7,5,18/09/2023,170656.04,Bank Transfer
29296,726,33,11,5,01/04/2025,170439.12,Check
39788,203,44,15,1,24/09/2024,170290,Check
38785,264,43,15,1,02/08/2024,169333.52,Bank Transfer
52880,639,64,22,1,22/11/2021,169125.06,Check
869,101,3,1,8,06/01/2023,167495.1,Check
